,nombre_del_platillo,tiempo_preparacion,porciones,ingredientes,instrucciones,nutricion
21,"Impresionante salchicha, relleno de manzana y arándano",1 hrs 30 mins,10,"3 ¾ tazas de pan blanco en cubos, 1 ½ tazas de pan de trigo integral, salchicha de pavo molido de 1 libra, 1 taza de cebolla picada, ¾ taza de apio picado, 2 ½ cucharaditas Deliciosa manzana, córnida y picada, ¾ taza de arándanos secos, ? Copa de perejil fresco picado, 1 hígado de pavo cocido, finamente picado, ¾ taza de caldo de pavo, 4 cucharadas de mantequilla sin sal, derretida","Precaliente el horno a 350 grados F (175 grados C).
Extienda los cubos de pan de trigo blanco y integral en una sola capa en una gran bandeja para hornear.
Hornee en el horno precalentado hasta que se tostara uniformemente, de 5 a 7 minutos. Transfiera los cubos de pan tostados a un tazón grande.
Cocine las salchichas y las cebollas en una sartén grande a fuego medio, revolviendo y rompiendo grumos, hasta que se doren uniformemente, de 6 a 8 minutos. Agregue el apio, la salvia, el romero y el tomillo; Cocine y revuelva hasta que se mezclen los sabores, aproximadamente 2 minutos.
Vierta la mezcla de salchichas sobre el pan en el tazón. Mezcle la manzana picada, los arándanos secos, el perejil y el hígado. Rocíe con caldo de pavo y mantequilla derretida; Mezcle ligeramente.
Permita que el relleno se enfríe por completo antes de rellenar libremente un pavo.











Dotdash Meredith Food Studios
","Total de grasa 12 g 15%, grasa saturada 5 g 25%, colesterol 80mg 27%, sodio 548mg 24%, carbohidrato total 22 g 8%, fibra dietética 2G 8%, azúcares totales 9G, proteína 13 g, vitamina C 9mg 44%, calcio 47mg 4 %, Hierro 3mg 17%, potasio 268 mg 6%"
22,Pasteles manuales,1 hrs 15 mins,4,"2 cucharadas de mantequilla, 2 manzanas verdes grandes: peladas, con núcleo y cortadas en trozos, 2 cucharadas de azúcar morena, ¼ taza de azúcar blanca, ¼ cucharadita de sal, 1 ½ cucharaditas de canela molida (Opcional), masa de pastel preparada de 1 libra, cortado en 4 piezas, 1 huevo, 2 cucharaditas de leche, 1 cucharadita de azúcar blanca o según sea necesario","Derrita la mantequilla en una sartén grande a fuego medio; Deje que la mantequilla se dore a un color dorado claro y el olor tostado, aproximadamente 1 minuto. Revuelva las manzanas en mantequilla caliente; Espolvorea con 1/4 taza de azúcar blanca, azúcar morena y sal. Cocine y revuelva la mezcla de manzana hasta que las manzanas se ablanden, aproximadamente 5 minutos. Mezclar en canela y agua; Continúe cocinando hasta que las manzanas estén suaves y pegajosas, de 1 a 2 minutos más. Extienda el relleno de manzana en un plato para que se enfríe.
Precaliente el horno a 400 grados F (200 grados C). Forre una bandeja para hornear con una alfombra de silicona o papel pergamino.
Forma una pieza de masa en una bola, colóquelo en una superficie de trabajo enharinada y enrolle en un círculo de aproximadamente 8 pulgadas de diámetro. Coloque 1/3 a 1/2 taza de manzana rellenando el centro. Doble la masa sobre el relleno, dejando aproximadamente 1 pulgada de masa en el lado inferior visible debajo del lado superior. Presione suavemente la masa cerrada alrededor de relleno, usando las yemas de los dedos.
Dobla la parte inferior de la masa sobre el borde superior, trabajando alrededor de la corteza, y pellizca el voladizo firmemente a la parte superior de la corteza.
Engarzando el borde firmemente cerrado, pellizcando un poco de masa con el pulgar y el índice de una mano y usando su dedo índice en la otra mano para empujar una pequeña muesca en la masa pellizcada. Continúe pellizcando y con muescas hasta que la corteza esté bien entrometida. Repita con el resto de la masa y el relleno. Transfiera pasteles a una bandeja para hornear preparada.
Batir el huevo con leche en un tazón pequeño hasta que estén completamente combinados. Cepille la parte superior de cada pastel de mano con mezcla de huevo y espolvoree con aproximadamente 1/4 cucharadita de azúcar blanca. Corte 3 pequeños orificios de ventilación en la parte superior de cada pastel.
Hornee en el horno precalentado hasta que los pasteles estén dorados y el relleno esté burbujeando, de 25 a 30 minutos. Deje enfriar durante al menos 15 minutos antes de servir.











Dotdash Meredith Food Studios
","Total de grasa 42G 54%, grasa saturada 13G 64%, colesterol 62mg 21%, sodio 754mg 33%, carbohidrato total 82 g 30%, fibra dietética 6G 23%, azúcares totales 31G, proteína 9G, vitamina C 5mg 27%, calcio 38mg 3 3 %, Hierro 4 mg 19%, potasio 215 mg 5%"
23,Increíble mantequilla de manzana,10 hrs 40 mins,48,"10 libras de manzanas, parcialmente, 4 tazas de jugo de manzana sin azúcar, 1 taza de azúcar blanca, 1 cucharada de vinagre de manzana, 1 ½ cucharaditas de canela molida, ½ cucharadita de clavo molido, ½ cucharadita","Combine manzanas y jugo de manzana en una serie; llevar a ebullición. Reduzca el fuego y cocine a fuego lento hasta que las manzanas estén suaves y blandas, de 20 a 30 minutos.
Coloque las manzanas en una fábrica de alimentos y procese en puré mientras descarta los núcleos y las cáscaras restantes en el molino. Transfiera las manzanas de proceso a una olla de cocción lenta.
Cocine en alto con la tapa apagada hasta que la humedad se evapore y el volumen se reduzca aproximadamente la mitad, durante la noche a 24 horas.
Revuelva el azúcar, el vinagre de manzana, la canela, los clavos y la pimienta de Jamaica a través del puré de manzana.
Continúe cocinando en alto hasta que la mezcla se encuentre en una placa fría sin que se separe el agua de los bordes, otras 2 a 6 horas.
Esterilice los frascos y las tapas en agua hirviendo durante al menos 5 minutos. Empaque la mantequilla de manzana en los frascos calientes y esterilizados, llenando los frascos a 1/4 de pulgada de la parte superior. Pase un cuchillo o una espátula delgada alrededor del interior de los frascos después de que se hayan llenado para eliminar las burbujas de aire. Limpie los bordes de los frascos con una toalla de papel húmeda para eliminar cualquier residuo de alimentos. Cubra con las tapas y atornilla los anillos.
Coloque una rejilla en el fondo de una serie grande y llene a mitad de camino con agua. Lleve a ebullición y baje los frascos en el agua hirviendo con un soporte. Deje un espacio de 2 pulgadas entre los frascos. Vierta más agua hirviendo si es necesario para llevar el nivel de agua a al menos 1 pulgada por encima de la parte superior de los frascos. Lleve el agua a hervir, cubra la olla y procese de 5 a 10 minutos.
Retire los frascos de la serie y colóquelo en una superficie cubierta de tela o de madera, a varias pulgadas de distancia, hasta que se enfríe. Una vez frío, presione la parte superior de cada tapa con un dedo, asegurando que el sello esté apretado (la tapa no se mueve hacia arriba ni hacia abajo en absoluto). Almacene en un área fresca y oscura.","Total de grasa 0g 0%, sodio 2 mg 0%, carbohidrato total 20G 7%, fibra dietética 2G 8%, azúcares totales 16 g, proteína 0 g, vitamina C 5 mg 23%, calcio 8mg 1%, hierro 0 mg 1%, potasio 127mg 3%3%"
24,Muffins fáciles de canela de manzana,45 mins,6,"1 ½ tazas de harina para todo uso, ¾ taza de azúcar blanca, 2 cucharaditas de polvo de hornear, 1 cucharadita de canela molida, ½ cucharadita de sal, 1 huevo, ? taza de aceite vegetal, ? taza de leche, 2 manzanas - peladas, córradas y picadas","Precaliente el horno a 400 grados F (200 grados C). Engrase 6 tazas de muffins grandes o línea con revestimientos de panecillos de papel.
Haga muffins: revuelva la harina, el azúcar, el polvo de hornear, la canela y la sal en un tazón grande. Mezcle el huevo, el aceite y la leche. Doblar en manzanas picadas. Coloque la masa en las tazas de muffins preparadas, llenándose justo debajo del borde.
Haga cobertura: coloque azúcar, mantequilla, harina y canela en un tazón pequeño; Mezcle la mezcla con un tenedor y espolvoree sobre magdalenas sin hacer.
Hornee en el horno precalentado hasta que un palillo de dientes insertado en el centro de un muffin salga limpio, de 20 a 25 minutos.











Kelly McCulley
","Total de grasa 29G 37%, grasas saturadas 12G 61%, colesterol 73 mg 24%, sodio 441mg 19%, carbohidrato total 79 g 29%, fibra dietética 3G 9%, azúcares totales 47G, proteína 6 g, vitamina C 2mg 11%, calcio 110mg 8 8 %, Hierro 2mg 12%, potasio 131mg 3%"
25,El increíble pan de manzana de Debbie,1 hrs 15 mins,10,"2 huevos, 2 tazas de azúcar blanca, ½ taza de aceite vegetal, 2 cucharaditas de extracto de vainilla, 2 tazas de manzanas, peladas y cortadas en picada, 2 tazas de harina para todo uso, 1 ½ cucharaditas de sal, 1 cucharadita de horno en polvo, ½ cucharadita de canela molida o más probar","Precaliente el horno a 350 grados F (175 grados C). Engrase una sartén de 9x5 pulgadas.
Batir los huevos, el azúcar, el aceite vegetal y el extracto de vainilla en un tazón de mezcla; Agregue manzanas.
Mezcle harina, sal, polvo de hornear y canela en un tazón aparte; Agregue a la mezcla de manzana y revuelva hasta que se combine uniformemente. Vierta la masa en la bandeja de pan preparada.
Hornee en el horno precalentado durante 45 minutos. Cubra la bandeja de pan con papel de aluminio; Continúe horneando hasta que un palillo insertado en el centro salga limpio, aproximadamente 15 minutos más. Enfríe en la sartén durante 10 minutos antes de retirarse para enfriar completamente sobre una rejilla.











Aaron Brown
","Total de grasa 12g 16%, grasa saturada 2G 11%, colesterol 37mg 12%, sodio 412mg 18%, carbohidrato total 63g 23%, fibra dietética 1G 5%, azúcares totales 43G, proteína 4G, vitamina C 1 mg 6%, calcio 39mg 3 3 %, Hierro 1 mg 8%, potasio 70mg 1%"
26,Buñuelos de manzana de mamá,35 mins,24,"1 litera de aceite vegetal para freír, 1 ½ tazas de harina para todo uso, 1 cucharada de azúcar blanca, 2 cucharaditas en polvo de hornear, ½ cucharadita de sal, ? taza de leche, 2 huevos grandes, batidos, 1 cucharada de aceite vegetal, 3 tazas de manzanas- pelado, con núcleo y picado, 1 taza de azúcar de canela","Caliente el aceite en una freidora o sartén eléctrica a 375 grados F (190 grados C).
Revuelva la harina, el azúcar, el polvo de hornear y la sal en un tazón grande. Vierta la leche, los huevos y el aceite; Revuelva hasta que esté bien mezclado. Mezcle las manzanas hasta que se distribuya uniformemente.
Trabajando en pequeños lotes para evitar el hacinamiento, deje caer cucharadas de masa en la freidora y fríe en aceite caliente hasta que esté dorado, aproximadamente 5 minutos. Use una cuchara ranurada para transferir buñuelos a un plato de toalla de papel. Mezcle los buñuelos tibios con azúcar de canela en un tazón hasta que estén bien cubiertos.











Dotdash Meredith Food Studios
","Total de grasa 5G 6%, grasa saturada 1G 4%, colesterol 16 mg 5%, sodio 98mg 4%, carbohidrato total 17 g 6%, fibra dietética 1G 2%, azúcares totales 3G, proteína 2g, vitamina C 1 mg 4%, calcio 35mg 3mg 3 %, Hierro 1 mg 3%, potasio 41mg 1%"
27,Fácil de relleno de pastel de manzana,30 mins,6,"1 (21 onzas) puede llenar el pastel de manzana, ½ cucharadita de canela molida, ½ cucharadita","Precaliente el horno a 350 grados F (175 grados C).
Extienda el relleno de pastel en una fuente para hornear de 8x8 pulgadas. Espolvorea con canela y nuez moscada.
Cremos juntos margarina y azúcar. Corte en harina con una licuadora de pastelería hasta que la mezcla se parezca a las migajas gruesas. Espolvorea la mezcla sobre el relleno de pastel.
Hornee en el horno precalentado hasta que la cobertura esté marrón y crujiente y el relleno esté caliente y burbujeante, aproximadamente 20 minutos.","Total de grasa 31G 39%, grasa saturada 5G 27%, sodio 398 mg 17%, carbohidrato total 67 g 25%, fibra dietética 2G 8%, azúcares totales 9G, proteína 5G, vitamina C 1 mg 6%, calcio 31 mg 2%, hierro 2mg 13 13 %, Potasio 119mg 3%"
28,Muffins de Apple Strudel,45 mins,12,"2 tazas de harina para todo uso, 1 cucharadita de hornear en polvo, ½ cucharadita de bicarbonato de sodio, ½ cucharadita de sal, 1 taza de azúcar blanco, ½ taza de mantequilla, 2 huevos grandes, 1 ¼ cucharadita de vainilla, 1 ½ tazas de manzanas picadas","Precaliente el horno a 375 grados F (190 grados C). Engrase una bandeja de muffin de 12 tazas.
Mezcle la harina, el polvo de hornear, el bicarbonato de sodio y la sal en un tazón mediano.
Batir el azúcar, la mantequilla y los huevos en un tazón grande hasta que estén suaves. Mezclar en vainilla. Agregue las manzanas, luego mezcle gradualmente en la mezcla de harina. Coloque la masa en el muffins preparado.
Haga cobertura: mezcle azúcar morena, harina y canela en un tazón pequeño. Corte en mantequilla hasta que la mezcla se parezca a las migajas gruesas. Espolvorea sobre cada tapa de muffin.
Hornee en el horno precalentado hasta que un palillo insertado en el centro de un muffin salga limpio, aproximadamente 20 minutos. Deje reposar 5 minutos antes de transferir muffins a una rejilla para que se enfríe.











Korona
","Total de grasa 10G 12%, grasa saturada 6G 29%, colesterol 54mg 18%, sodio 255mg 11%, carbohidrato total 41g 15%, fibra dietética 1G 4%, azúcares totales 24 g, proteína 3G, vitamina C 1 mg 4%, calcio 33mg 3 %, Hierro 1 mg 7%, potasio 63mg 1%"
29,Deliciosas manzanas horneadas de canela,1 hrs,6,"1 cucharadita de mantequilla, 2 cucharadas de azúcar morena, 3 cucharaditas de azúcar de vainilla, 3 cucharaditas de canela molida, 1 cucharadita","Precaliente el horno a 350 grados F (175 grados C). Engrase una fuente grande para hornear con mantequilla.
Mezcle el azúcar morena, el azúcar de vainilla, la canela y la nuez moscada en un tazón pequeño. Capa de aproximadamente 1/3 de las manzanas en la fuente de hornear preparada; Espolvorea con 1/3 de la mezcla de azúcar. Repita las capas dos veces más.
Hornee en el horno precalentado durante 30 minutos. Vierta el agua sobre las manzanas y continúe horneando hasta que estén tiernos, aproximadamente 15 minutos más.","Total de grasa 1g 2%, grasa saturada 1G 3%, colesterol 2 mg 1%, sodio 9 mg 0%, carbohidrato total 37 g 13%, fibra dietética 6g 21%, azúcares totales 27 g, proteína 1 g, vitamina C 10mg 49%, calcio 29mg 2 29mg 2 %, Hierro 0 mg 2%, potasio 240mg 5%"
30,Ensalada Waldorf,20 mins,6,"½ taza de mayonesa, 1 cucharada de azúcar blanca, 1 cucharadita de jugo de limón, ? cucharadita de sal, 3 manzanas: peladas, con núcleo y picada, 1 taza de apio en rodajas finas, ½ taza de nueces picadas, ½ taza de pasas (opcionales)","Batir la mayonesa, el azúcar, el jugo de limón y la sal en un tazón para servir.
Agregue manzanas, apio, nueces y pasas. Cubra y enfríe en el refrigerador hasta que esté listo para servir.","Total de grasa 21G 27%, grasa saturada 3G 14%, colesterol 7mg 2%, sodio 171mg 7%, carbohidrato total 24 g 9%, fibra dietética 3G 11%, azúcares totales 17G, proteína 2g, vitamina C 5mg 23%, calcio 29mg 2 mg 2 de %, Hierro 1 mg 4%, potasio 263 mg 6%"
31,Crostada de cranberros de manzana,,8,"3 cucharadas de mantequilla, 2 libras de manzanas Granny Smith (u otras manzanas firmes, crujientes), peladas, descuidadas, con núcleo y rodajas de 1/4 de pulgada de espesor, 1 libra de manzanas Macintosh (u otras manzanas de textura suave que se desmoronan cuando se cocinan), pelado, descuidado, con núcleo y en rodajas de 1/4 de pulgada de espesor, ½ taza de azúcar, ½ taza de arándanos secos, hojas de hojaldre congelado de 1 hoja, descongelado pero aún frío (siga direcciones del paquete), 1 clara de huevo, ligeramente batida, 1 cucharada de azúcar , 1 taza opcional: helado o crema batida ligeramente endulzada","Caliente la mantequilla en una sartén grande a fuego medio-alto. Agregue manzanas, 1/2 taza de azúcar y arándanos; Cubra y cocine hasta que las manzanas liberen su líquido, aproximadamente 5 minutos. Retire la tapa y continúe cocinando, revolviendo con frecuencia, hasta que las manzanas suaves se desmoronen y los jugos se espesen a una consistencia delir-syrup, aproximadamente 5 minutos más. Vierta en una bandeja para galletas de labio grande o una bandeja de gelatina y enfríe a temperatura ambiente. (Se puede refrigerar en un recipiente hermético de hasta 5 días).
Ajuste la rejilla del horno a una posición baja y caliente el horno a 400 grados. Abra la hoja de hojaldre en una superficie de trabajo ligeramente enharinada. Enrolle en un rectángulo, aproximadamente 10 por 16 pulgadas. Transfiera a una gran bandeja para galletas. (Sugiero alinear la hoja con papel pergamino; esto asegura que la Crosta no se adhiera y permita una limpieza fácil).
Extienda manzanas cocidas sobre pasteles, dejando un borde de 2 pulgadas. Plegable bordes de pastelería sobre manzanas. Despliegue las esquinas y forme pliegues con volantes para evitar que la masa se superponga. Cepille el borde de la masa con clara de huevo y espolvoree con la 1 TB restante. azúcar. Hornee hasta que la masa esté dorada, de 25 a 30 minutos. Sirva tibia o a temperatura ambiente con helado opcional o crema batida.","Total de grasa 18G 23%, grasa saturada 7G 34%, colesterol 19 mg 6%, sodio 128 mg 6%, carbohidrato total 60 g 22%, fibra dietética 5G 16%, azúcares totales 40G, proteína 4G, vitamina C 82%, calcio 35mg 3 %, Hierro 1 mg 6%, potasio 245mg 5%"
